image_id,sand,silt,clay,loam
Sample1,0,0,1,0
Sample2,0,0,1,0
Sample3,0,0,1,0
Sample4,0,0,1,0
Sample5,0,0,1,0
Sample6,0,0,1,0
Sample7,0,0,1,0
Sample8,1,0,0,0
Sample9,1,0,0,0
Sample10,1,0,0,0
Sample11,1,0,0,0
Sample12,1,0,0,0
Sample13,0,0,0,1
Sample14,0,0,0,1
Sample15,0,0,0,1
Sample16,0,0,0,1
Sample17,0,0,1,0
Sample18,0,0,1,0
Sample19,0,0,1,0
Sample20,0,0,1,0
Sample21,0,0,1,0
Sample22,0,0,1,0
Sample23,0,0,1,0
Sample24,0,0,1,0
Sample25,0,0,1,0
Sample26,0,0,1,0
Sample27,0,0,1,0
Sample28,0,0,1,0
Sample29,0,0,1,0
Sample30,0,0,1,0
Sample31,0,0,1,0
Sample32,0,0,1,0
Sample33,0,0,1,0
Sample34,0,0,1,0
Sample35,0,0,1,0
Sample36,0,0,1,0
Sample37,0,0,1,0
Sample38,1,0,0,0
Sample39,1,0,0,0
Sample40,1,0,0,0
Sample41,1,0,0,0
Sample42,1,0,0,0
Sample43,1,0,0,0
Sample44,1,0,0,0
Sample45,1,0,0,0
Sample46,1,0,0,0
Sample47,1,0,0,0
Sample48,1,0,0,0
Sample49,1,0,0,0
Sample50,1,0,0,0
Sample51,1,0,0,0
Sample52,0,1,0,0
Sample53,0,1,0,0
Sample54,0,1,0,0
Sample55,0,1,0,0
Sample56,0,1,0,0
Sample57,0,1,0,0
Sample58,0,1,0,0
Sample59,0,0,0,1
Sample60,0,0,0,1
Sample61,0,0,0,1
Sample62,0,0,0,1
Sample63,0,0,0,1
Sample64,0,0,0,1
Sample65,0,0,0,1
Sample66,0,0,0,1
Sample67,0,0,0,1
Sample68,0,0,0,1
Sample69,0,0,0,1
Sample70,0,0,0,1
Sample71,0,0,0,1
Sample72,0,0,0,1
Sample73,0,0,0,1
Sample74,0,0,0,1
Sample75,0,0,0,1
Sample76,0,0,0,1
Sample77,0,0,0,1
Sample78,0,0,0,1
Sample79,0,0,0,1
Sample80,0,1,0,0
Sample81,0,1,0,0
Sample82,0,1,0,0
Sample83,0,1,0,0
Sample84,0,1,0,0
Sample85,0,1,0,0
Sample86,0,1,0,0
Sample87,0,1,0,0
Sample88,0,1,0,0
Sample89,0,1,0,0
Sample90,0,1,0,0
Sample91,0,1,0,0
Sample92,0,1,0,0
Sample93,0,1,0,0
Sample94,0,0,1,0
Sample95,0,0,1,0
Sample96,0,0,1,0
Sample97,0,0,1,0
Sample98,0,0,1,0
Sample99,0,0,1,0
Sample100,0,0,1,0
Sample101,0,1,0,0
Sample102,0,1,0,0
Sample103,0,1,0,0
Sample104,0,1,0,0
Sample105,0,1,0,0
Sample106,0,1,0,0
Sample107,0,1,0,0
Sample108,0,1,0,0
Sample109,0,1,0,0
Sample110,0,1,0,0
Sample111,0,1,0,0
Sample112,0,1,0,0
Sample113,0,1,0,0
Sample114,1,0,0,0
Sample115,1,0,0,0
Sample116,1,0,0,0
Sample117,1,0,0,0
Sample118,1,0,0,0
Sample119,1,0,0,0
Sample120,1,0,0,0
Sample121,0,1,0,0
Sample122,0,1,0,0
Sample123,0,1,0,0
Sample124,0,1,0,0
Sample125,0,1,0,0
Sample126,0,1,0,0
Sample127,0,1,0,0
Sample128,0,1,0,0
